# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_volume
143 1.26319 -6.37377 140.608
144 1.25764 -6.36776 140.608
145 1.24087 -6.3516 140.608
146 1.21291 -6.3229 140.608
147 1.1738 -6.28321 140.608
148 1.12378 -6.23333 140.608
149 1.06355 -6.17289 140.608
150 0.99465 -6.10446 140.608
151 0.919805 -6.02879 140.608
152 0.842995 -5.9523 140.608
153 0.769087 -5.87809 140.608
154 0.702919 -5.81185 140.608
155 0.648229 -5.75689 140.608
156 0.60701 -5.71491 140.608
157 0.579543 -5.68766 140.608
158 0.564781 -5.67225 140.608
159 0.560806 -5.66886 140.608
160 0.565256 -5.6736 140.608
161 0.575672 -5.68415 140.608
162 0.589796 -5.69777 140.608
163 0.605759 -5.7135 140.608
164 0.622165 -5.72979 140.608
165 0.638069 -5.74601 140.608
166 0.652886 -5.76037 140.608
167 0.666269 -5.7739 140.608
168 0.678026 -5.7852 140.608
169 0.688037 -5.79611 140.608
170 0.696215 -5.80458 140.608
171 0.702497 -5.81056 140.608
172 0.706879 -5.81463 140.608
173 0.709438 -5.81626 140.608
174 0.71034 -5.81729 140.608
175 0.709823 -5.81646 140.608
176 0.708186 -5.81464 140.608
177 0.705768 -5.81251 140.608
178 0.702898 -5.80932 140.608
179 0.699854 -5.80596 140.608
180 0.696833 -5.80278 140.608
181 0.693953 -5.80021 140.608
182 0.691233 -5.79749 140.608
183 0.688644 -5.79475 140.608
184 0.686155 -5.79196 140.608
185 0.683769 -5.78912 140.608
186 0.681553 -5.7869 140.608
187 0.679632 -5.78451 140.608
188 0.678118 -5.78239 140.608
189 0.677014 -5.78191 140.608
190 0.676149 -5.78031 140.608
191 0.675202 -5.7803 140.608
192 0.673776 -5.77875 140.608
193 0.671505 -5.77664 140.608
194 0.668141 -5.77313 140.608
195 0.663598 -5.76873 140.608
196 0.657929 -5.76275 140.608
197 0.651271 -5.75698 140.608
198 0.643811 -5.74906 140.608
199 0.635742 -5.74113 140.608
200 0.627225 -5.7323 140.608
201 0.618392 -5.72331 140.608
202 0.609347 -5.71321 140.608
203 0.600184 -5.70419 140.608
204 0.591011 -5.69486 140.608
205 0.581994 -5.68628 140.608
206 0.573406 -5.67797 140.608
207 0.565648 -5.67003 140.608
208 0.559242 -5.66404 140.608
209 0.554806 -5.65986 140.608
210 0.552953 -5.65827 140.608
211 0.554163 -5.65977 140.608
212 0.558649 -5.66411 140.608
213 0.566286 -5.67162 140.608
214 0.576588 -5.68212 140.608
215 0.588771 -5.69466 140.608
216 0.601882 -5.70783 140.608
217 0.614954 -5.72094 140.608
218 0.627151 -5.73393 140.608
219 0.637845 -5.74449 140.608
220 0.646656 -5.75345 140.608
221 0.653435 -5.76037 140.608
222 0.658226 -5.76454 140.608
223 0.661184 -5.76778 140.608
224 0.662506 -5.76969 140.608
225 0.662407 -5.76942 140.608
226 0.661082 -5.76884 140.608
227 0.658676 -5.76628 140.608
228 0.655273 -5.76212 140.608
229 0.650919 -5.75761 140.608
230 0.645609 -5.75276 140.608
231 0.639307 -5.74662 140.608
232 0.631987 -5.73885 140.608
233 0.623654 -5.73021 140.608
234 0.614391 -5.72125 140.608
235 0.604401 -5.71048 140.608
236 0.594004 -5.69916 140.608
237 0.583616 -5.68859 140.608
238 0.5737 -5.67865 140.608
239 0.564698 -5.67008 140.608
240 0.556948 -5.66202 140.608
241 0.550653 -5.65632 140.608
242 0.545871 -5.65139 140.608
243 0.542519 -5.6479 140.608
244 0.540422 -5.64536 140.608
245 0.539334 -5.64444 140.608
246 0.538973 -5.6438 140.608
247 0.539081 -5.64437 140.608
248 0.539431 -5.64488 140.608
249 0.539833 -5.64544 140.608
250 0.540133 -5.64544 140.608
251 0.540194 -5.64581 140.608
252 0.539892 -5.64582 140.608
253 0.539117 -5.64596 140.608
254 0.53777 -5.64402 140.608
255 0.535773 -5.64172 140.608
256 0.533122 -5.63922 140.608
257 0.529897 -5.63553 140.608
258 0.526283 -5.63145 140.608
259 0.522557 -5.6274 140.608
260 0.519045 -5.62341 140.608
261 0.516108 -5.62091 140.608
262 0.514104 -5.61918 140.608
263 0.513354 -5.61872 140.608
264 0.51412 -5.61932 140.608
265 0.516565 -5.62192 140.608
266 0.520728 -5.62608 140.608
267 0.52651 -5.63203 140.608
268 0.533685 -5.63937 140.608
269 0.541915 -5.64869 140.608
270 0.550776 -5.65697 140.608
271 0.559782 -5.66555 140.608
272 0.568434 -5.67393 140.608
273 0.576264 -5.68223 140.608
274 0.582846 -5.68944 140.608
275 0.587851 -5.69461 140.608
276 0.591064 -5.69782 140.608
277 0.592394 -5.69915 140.608
278 0.591896 -5.69803 140.608
279 0.589747 -5.69541 140.608
280 0.586211 -5.69246 140.608
281 0.581601 -5.68783 140.608
282 0.576222 -5.68258 140.608
283 0.570353 -5.67715 140.608
284 0.564208 -5.67055 140.608
285 0.557939 -5.66397 140.608
286 0.551649 -5.65829 140.608
287 0.545402 -5.65189 140.608
288 0.539251 -5.64604 140.608
289 0.53327 -5.64005 140.608
290 0.527558 -5.63524 140.608
291 0.522248 -5.63128 140.608
292 0.517509 -5.62729 140.608
293 0.513533 -5.62331 140.608
294 0.510514 -5.61998 140.608
295 0.508633 -5.61794 140.608
296 0.508036 -5.61764 140.608
297 0.508816 -5.61812 140.608
298 0.511002 -5.62015 140.608
299 0.514569 -5.62403 140.608
300 0.519454 -5.62877 140.608
301 0.525558 -5.63563 140.608
302 0.532736 -5.64252 140.608
303 0.540784 -5.65119 140.608
304 0.549438 -5.65956 140.608
305 0.558341 -5.66818 140.608
306 0.567066 -5.67724 140.608
307 0.575139 -5.6864 140.608
308 0.582105 -5.69308 140.608
309 0.587617 -5.69861 140.608
310 0.591468 -5.70201 140.608
311 0.593604 -5.70444 140.608
312 0.594132 -5.7051 140.608
313 0.593274 -5.70407 140.608
314 0.591309 -5.70103 140.608
315 0.588499 -5.69836 140.608
316 0.585055 -5.69491 140.608
317 0.58112 -5.69052 140.608
318 0.57678 -5.68558 140.608
319 0.572107 -5.68105 140.608
320 0.567204 -5.67584 140.608
321 0.56223 -5.67055 140.608
322 0.557416 -5.66557 140.608
323 0.553057 -5.66164 140.608
324 0.549447 -5.65756 140.608
325 0.546843 -5.65404 140.608
326 0.545403 -5.6526 140.608
327 0.545162 -5.65222 140.608
328 0.546028 -5.6528 140.608
329 0.547796 -5.65443 140.608
330 0.55018 -5.65729 140.608
331 0.552858 -5.66014 140.608
332 0.555533 -5.66373 140.608
333 0.55797 -5.66693 140.608
334 0.560011 -5.66867 140.608
335 0.56158 -5.67008 140.608
336 0.562686 -5.67118 140.608
337 0.563369 -5.67202 140.608
338 0.563665 -5.67307 140.608
339 0.563573 -5.67313 140.608
340 0.563023 -5.67244 140.608
341 0.5619 -5.67072 140.608
342 0.560084 -5.66891 140.608
343 0.557521 -5.6665 140.608
344 0.554273 -5.66248 140.608
345 0.550559 -5.65845 140.608
346 0.546717 -5.65473 140.608
347 0.543145 -5.65023 140.608
348 0.540239 -5.64745 140.608
349 0.538305 -5.64551 140.608
350 0.53749 -5.64485 140.608
351 0.537773 -5.64484 140.608
352 0.538957 -5.6456 140.608
353 0.540723 -5.64663 140.608
354 0.542691 -5.64817 140.608
355 0.544502 -5.65046 140.608
356 0.545891 -5.65231 140.608
357 0.546735 -5.65345 140.608
358 0.54709 -5.65425 140.608
359 0.547147 -5.65474 140.608
360 0.547173 -5.6552 140.608
361 0.547444 -5.65531 140.608
362 0.54815 -5.65677 140.608
363 0.549352 -5.65858 140.608
364 0.55099 -5.65977 140.608
365 0.552931 -5.66278 140.608
366 0.555012 -5.66457 140.608
367 0.557097 -5.66651 140.608
368 0.559089 -5.66865 140.608
369 0.560927 -5.67049 140.608
370 0.562577 -5.67169 140.608
371 0.563973 -5.67309 140.608
372 0.565018 -5.67444 140.608
373 0.565566 -5.6747 140.608
374 0.565456 -5.67385 140.608
375 0.564568 -5.67266 140.608
376 0.562869 -5.67081 140.608
377 0.560463 -5.66869 140.608
378 0.557595 -5.6655 140.608
379 0.554654 -5.66283 140.608
380 0.552144 -5.66074 140.608
381 0.550599 -5.66083 140.608
382 0.550485 -5.66069 140.608
383 0.55211 -5.66201 140.608
384 0.555556 -5.66532 140.608
385 0.560674 -5.66986 140.608
386 0.567142 -5.67665 140.608
387 0.574554 -5.68484 140.608
388 0.582511 -5.69237 140.608
389 0.590662 -5.70008 140.608
390 0.598721 -5.70815 140.608
391 0.606462 -5.71621 140.608
392 0.613677 -5.72343 140.608
393 0.620146 -5.73021 140.608
394 0.625647 -5.73617 140.608
395 0.629971 -5.7399 140.608
396 0.632937 -5.74288 140.608
397 0.634384 -5.74388 140.608
398 0.634175 -5.74428 140.608
399 0.632248 -5.7419 140.608
400 0.628632 -5.73798 140.608
401 0.623462 -5.73325 140.608
402 0.617014 -5.72693 140.608
403 0.609704 -5.71914 140.608
404 0.602046 -5.71114 140.608
405 0.594586 -5.70381 140.608
406 0.587828 -5.69657 140.608
407 0.582165 -5.6912 140.608
408 0.577835 -5.68702 140.608
409 0.574927 -5.68396 140.608
410 0.573412 -5.682 140.608
411 0.573188 -5.68133 140.608
412 0.57412 -5.68167 140.608
413 0.576035 -5.68299 140.608
414 0.578729 -5.6857 140.608
415 0.581961 -5.68985 140.608
416 0.585449 -5.69275 140.608
417 0.588879 -5.69589 140.608
418 0.591956 -5.69944 140.608
419 0.594459 -5.7018 140.608
420 0.596227 -5.70327 140.608
421 0.597161 -5.7042 140.608
422 0.597233 -5.70457 140.608
423 0.596475 -5.70411 140.608
424 0.594954 -5.70258 140.608
425 0.592754 -5.70038 140.608
426 0.589985 -5.6973 140.608
427 0.586769 -5.69423 140.608
428 0.583242 -5.69146 140.608
429 0.579565 -5.68746 140.608
430 0.575944 -5.68292 140.608
431 0.572644 -5.6793 140.608
432 0.569975 -5.67737 140.608
433 0.568282 -5.6758 140.608
434 0.567918 -5.67557 140.608
435 0.569178 -5.67637 140.608
436 0.572237 -5.68002 140.608
437 0.577111 -5.68475 140.608
438 0.583661 -5.69162 140.608
